Feature,Information_Gain
jamin,0.00029944811560737254
jamur,0.0001882094419438352
jangka,0.0009101528443799141
jangkau,0.0023631570585439013
jangkrik,0.0001882094419438352
janji,0.0001321903461429636
jantan,0.0008785820794104753
januari,8.534794684404365e-05
japan,0.0009178412313506513
jarak,0.0005576853426763431
jarang,0.00013212201254752653
jargon,0.00022932202116135838
jari,0.0005927317838798399
jaring,0.001060029768876957
jas,0.00022932202116135838
jasa,9.457299375904295e-05
jatah,0.0003788990973645043
jatuh,0.0007723496930074642
jauhh,0.00037648743362983126
jawab,0.0003796754876139643
jaya,0.0005115861191600855
jazirah,0.00043914015144671083
jebak,4.756645139548021e-05
jeblok,0.00022932202116135838
jebol,0.00043914015144671083
jeep,0.0004402764674107922
jegal,0.0005299652226683407
jejak,0.00022932202116135838
jejer,0.00022932202116135838
jelajah,0.00022932202116135838
jelang,0.0001882094419438352
jelas,0.00022932202116135838
jelasss,0.00022932202116135838
jelata,0.0001882094419438352
jelek,0.0011475322828441888
jeli,0.00022932202116135838
jembatan,0.00033627865634686376
jembut,0.00022932202116135838
jempol,0.0001882094419438352
jemput,0.0001882094419438352
jenderal,0.0004856075932306637
jenggot,0.00033627865634686376
jenius,0.00045873618032261356
jenset,0.00022932202116135838
jeoang,0.00043914015144671083
jepang,0.00043914015144671083
jeroan,0.00022932202116135838
jet,8.534794684404365e-05
jetset,0.00022932202116135838
jeung,0.00045873618032261356
jidat,0.0001882094419438352
jiexpo,0.0007532492762904377
jika,0.0001882094419438352
jilat,0.00045873618032261356
jingan,0.00022932202116135838
jiplak,0.00018934575790797168
jitu,0.0001882094419438352
jiwa,0.0001882094419438352
jmlah,0.00043914015144671083
jobs,0.0001882094419438352
joget,0.00022932202116135838
joran,0.0001882094419438352
journey,0.00043914015144671083
jual,0.0012396900195137095
juang,0.0005031797767157541
juar,0.0001882094419438352
juara,0.0008349939127542715
judge,0.00022932202116135838
judul,0.00045873618032261356
juga,0.00033627865634686376
jujur,0.00043261172255268463
juklak,0.0001882094419438352
jumat,0.0001882094419438352
jumbo,0.0001882094419438352
jumpa,0.0005063930294371777
junjung,0.00033627865634686376
juragan,0.00022932202116135838
jurang,0.00022932202116135838
jurkam,0.00022932202116135838
jurnal,0.00022932202116135838
jurus,0.0005927317838798399
jurut,0.0001882094419438352
jusri,0.00022932202116135838
kabar,0.0010200097682301382
kabel,0.0002550513612546972
kabin,0.0001882094419438352
kabinet,0.0001882094419438352
kabur,0.0006882425571326616
kaca,0.0005637098682886635
kacang,0.0001882094419438352
kacau,0.0007573237389400535
kadalin,0.00022932202116135838
kadang,0.0005360613497967168
kades,0.00022932202116135838
kadin,0.0007532492762904377
kadran,0.0008785820794104753
kadrun,0.0007756631590126665
kadung,0.00043914015144671083
kaget,0.00021703051773473703
kagum,0.00037648743362983083
kahmi,0.0001882094419438352
kait,0.00044729177143189693
kaji,8.215229161684639e-06
kakak,0.0006458158772706063
kakakmade,0.0001882094419438352
kaki,0.0008809937431451492
kalah,0.00020877559670923196
kalahin,0.0001882094419438352
kalang,0.0014969576633543623
kalao,0.00022932202116135838
kalkulasi,0.0002550904861696962
kalla,0.00022932202116135838
kanan,0.00022932202116135838
kandang,0.00022932202116135838
kandas,0.00033627865634686376
kandung,4.937501204346252e-05
kanker,0.0001882094419438352
kantong,0.00010686316970404553
kantor,7.233841277869742e-05
kaos,0.00022932202116135838
kapal,0.000279896438997129
kapan,0.00043914015144671083
kapasitas,0.00030022310897895007
kapasitor,0.0001882094419438352
kapita,0.0002951660771293961
kapital,0.0006684047610713223
kapitalis,0.0003373864365266773
kaprah,0.00022932202116135838
karakter,0.0001882094419438352
karakteristik,0.0001882094419438352
karangasem,0.0001882094419438352
karat,0.00022932202116135838
karbitan,0.00022932202116135838
karbo,0.00043914015144671083
karbon,0.002701918915664308
karbu,0.0001882094419438352
karburator,0.0001882094419438352
kareta,0.00022932202116135838
kargo,0.0001882094419438352
karma,0.00022932202116135838
kartasasmita,8.534794684404365e-05
kartel,0.0006882425571326633
kartu,0.00022932202116135838
karuan,0.00022932202116135838
karya,0.0013814164326433269
karyawan,7.819687723784941e-05
kasar,0.0004402764674107922
kasbon,0.0001882094419438352
kasetpres,0.00037648743362983083
kasih,0.0007682207194983032
kasihan,0.0003966009249054881
katagori,0.0001882094419438352
katalis,0.0001882094419438352
kategori,0.00037648743362983126
katung,0.00022932202116135838
kaum,0.0005063930294371777
kaut,0.00022932202116135838
kawal,0.00022025197969726524
kawasan,0.0005928846391423928
kawin,0.0001882094419438352
kaya,0.0003076928459357492
kayakya,0.0001882094419438352
kayu,0.0001882094419438352
kebal,0.0001882094419438352
kebanyang,0.00022932202116135838
kebaya,0.00022932202116135838
kebo,0.00022932202116135838
kebul,0.0001882094419438352
kebun,0.0008809937431451492
keburu,0.00018934575790797168
kebut,0.00014820959043265703
kebutuhanya,0.0001882094419438352
kecap,0.00022932202116135838
kece,0.0001882094419438352
kecewa,0.00018934575790797168
kecimpung,0.0006684047610713223
kecut,0.00022932202116135838
kedodoran,0.0001882094419438352
kedok,0.00045873618032261356
kehed,0.00045873618032261356
keinget,0.0008785820794104753
keitung,0.00043914015144671083
kejam,0.00043914015144671083
kejar,0.0005122265009966413
keju,0.00022932202116135838
kekal,0.00043914015144671083
kelak,0.0004546530906709865
kelapa,0.00029618752872995636
kelas,0.001280848851393528
keliling,0.0005249013212617827
keliru,8.534794684404365e-05
kelistrikanya,0.00022932202116135838
kelok,0.00043914015144671083
kelola,0.0006743276659380653
kelompok,0.0005063930294371777
keluarga,0.000742027549523626
keluarin,0.0001882094419438352
keluh,0.0005063930294371777
kelulus,0.00022932202116135838
kemacetam,0.0001882094419438352
kemanain,0.00022932202116135838
kemaruk,0.00022932202116135838
kemas,0.00033627865634686376
kembang,0.005721892791581427
kembangakan,0.0001882094419438352
kembangin,0.00037648743362983126
kembung,0.00022932202116135838
kemcang,0.0001882094419438352
kemenhub,0.0001882094419438352
kemenkeu,0.0004649086164549934
kemenko,0.0006714783808451407
kemenperin,0.0002550904861696962
kemenristek,0.00022932202116135838
kemensos,0.00022932202116135838
kempanye,0.00022932202116135838
kempinski,0.0001882094419438352
kemudi,0.0001882094419438352
kemunculanya,0.0001882094419438352
kena,0.00022932202116135838
kenal,0.0007058619531461684
kenalpot,0.00010660181476294028
kenan,0.0001882094419438352
